Number_of_Cores,Number of Processes,Average Process Length,Algorithm,Number of Starvations
2,2048,32,0,458
2,2048,32,1,781
2,2048,32,2,430
2,2048,32,3,331
2,2048,32,4,516
2,2048,64,0,1177
2,2048,64,1,1997
2,2048,64,2,1113
2,2048,64,3,1026
2,2048,64,4,1705
2,2048,128,0,1602
2,2048,128,1,2036
2,2048,128,2,1540
2,2048,128,3,1497
2,2048,128,4,2030
2,2048,256,0,1817
2,2048,256,1,2048
2,2048,256,2,1773
2,2048,256,3,1750
2,2048,256,4,2040
2,2048,512,0,1928
2,2048,512,1,2048
2,2048,512,2,1899
2,2048,512,3,1891
2,2048,512,4,2043
Number_of_Cores,Number of Processes,Average Process Length,Algorithm,Number of Starvations
4,4,4,0,1
4,4,4,1,0
4,4,4,2,0
4,4,4,3,0
4,4,4,4,2
4,4,8,0,1
4,4,8,1,0
4,4,8,2,1
4,4,8,3,1
4,4,8,4,1
4,4,16,0,0
4,4,16,1,1
4,4,16,2,0
4,4,16,3,0
4,4,16,4,0
4,4,32,0,0
4,4,32,1,0
4,4,32,2,0
4,4,32,3,0
4,4,32,4,0
4,4,64,0,0
4,4,64,1,0
4,4,64,2,0
4,4,64,3,0
4,4,64,4,0
4,4,128,0,0
4,4,128,1,0
4,4,128,2,0
4,4,128,3,0
4,4,128,4,0
4,4,256,0,0
4,4,256,1,0
4,4,256,2,0
4,4,256,3,0
4,4,256,4,0
4,4,512,0,0
4,4,512,1,0
4,4,512,2,0
4,4,512,3,0
4,4,512,4,0
4,8,4,0,2
4,8,4,1,1
4,8,4,2,0
4,8,4,3,0
4,8,4,4,0
4,8,8,0,1
4,8,8,1,1
4,8,8,2,1
4,8,8,3,1
4,8,8,4,1
4,8,16,0,1
4,8,16,1,0
4,8,16,2,0
4,8,16,3,0
4,8,16,4,0
4,8,32,0,0
4,8,32,1,0
4,8,32,2,0
4,8,32,3,0
4,8,32,4,0
4,8,64,0,0
4,8,64,1,0
4,8,64,2,0
4,8,64,3,0
4,8,64,4,0
4,8,128,0,0
4,8,128,1,0
4,8,128,2,0
4,8,128,3,0
4,8,128,4,0
4,8,256,0,0
4,8,256,1,0
4,8,256,2,0
4,8,256,3,0
4,8,256,4,0
4,8,512,0,0
4,8,512,1,0
4,8,512,2,0
4,8,512,3,0
4,8,512,4,0
4,16,4,0,1
4,16,4,1,0
4,16,4,2,4
4,16,4,3,3
4,16,4,4,3
4,16,8,0,4
4,16,8,1,1
4,16,8,2,2
4,16,8,3,2
4,16,8,4,5
4,16,16,0,2
4,16,16,1,1
4,16,16,2,1
4,16,16,3,1
4,16,16,4,1
4,16,32,0,0
4,16,32,1,1
4,16,32,2,0
4,16,32,3,0
4,16,32,4,0
4,16,64,0,0
4,16,64,1,0
4,16,64,2,0
4,16,64,3,0
4,16,64,4,0
4,16,128,0,0
4,16,128,1,0
4,16,128,2,0
4,16,128,3,0
4,16,128,4,0
4,16,256,0,0
4,16,256,1,0
4,16,256,2,0
4,16,256,3,0
4,16,256,4,0
4,16,512,0,0
4,16,512,1,0
4,16,512,2,0
4,16,512,3,0
4,16,512,4,0
4,32,4,0,4
4,32,4,1,3
4,32,4,2,2
4,32,4,3,5
4,32,4,4,2
4,32,8,0,4
4,32,8,1,3
4,32,8,2,4
4,32,8,3,3
4,32,8,4,5
4,32,16,0,2
4,32,16,1,3
4,32,16,2,1
4,32,16,3,1
4,32,16,4,2
4,32,32,0,1
4,32,32,1,1
4,32,32,2,1
4,32,32,3,0
4,32,32,4,0
4,32,64,0,0
4,32,64,1,0
4,32,64,2,0
4,32,64,3,0
4,32,64,4,0
4,32,128,0,0
4,32,128,1,0
4,32,128,2,0
4,32,128,3,0
4,32,128,4,0
4,32,256,0,0
4,32,256,1,0
4,32,256,2,0
4,32,256,3,0
4,32,256,4,0
4,32,512,0,0
4,32,512,1,0
4,32,512,2,0
4,32,512,3,0
4,32,512,4,0
4,64,4,0,7
4,64,4,1,4
4,64,4,2,12
4,64,4,3,6
4,64,4,4,11
4,64,8,0,11
4,64,8,1,8
4,64,8,2,5
4,64,8,3,7
4,64,8,4,8
4,64,16,0,2
4,64,16,1,10
4,64,16,2,6
4,64,16,3,5
4,64,16,4,8
4,64,32,0,1
4,64,32,1,2
4,64,32,2,1
4,64,32,3,0
4,64,32,4,4
4,64,64,0,0
4,64,64,1,0
4,64,64,2,0
4,64,64,3,0
4,64,64,4,0
4,64,128,0,0
4,64,128,1,0
4,64,128,2,0
4,64,128,3,0
4,64,128,4,0
4,64,256,0,0
4,64,256,1,0
4,64,256,2,0
4,64,256,3,0
4,64,256,4,0
4,64,512,0,0
4,64,512,1,0
4,64,512,2,0
4,64,512,3,0
4,64,512,4,0
4,128,4,0,14
4,128,4,1,11
4,128,4,2,11
4,128,4,3,21
4,128,4,4,13
4,128,8,0,18
4,128,8,1,12
4,128,8,2,13
4,128,8,3,12
4,128,8,4,12
4,128,16,0,5
4,128,16,1,10
4,128,16,2,8
4,128,16,3,12
4,128,16,4,7
4,128,32,0,3
4,128,32,1,3
4,128,32,2,2
4,128,32,3,5
4,128,32,4,2
4,128,64,0,0
4,128,64,1,0
4,128,64,2,0
4,128,64,3,0
4,128,64,4,0
4,128,128,0,0
4,128,128,1,0
4,128,128,2,0
4,128,128,3,0
4,128,128,4,0
4,128,256,0,0
4,128,256,1,0
4,128,256,2,0
4,128,256,3,0
4,128,256,4,0
4,128,512,0,0
4,128,512,1,0
4,128,512,2,0
4,128,512,3,0
4,128,512,4,0
4,256,4,0,25
4,256,4,1,18
4,256,4,2,32
4,256,4,3,26
4,256,4,4,17
4,256,8,0,22
4,256,8,1,33
4,256,8,2,31
4,256,8,3,25
4,256,8,4,30
4,256,16,0,16
4,256,16,1,21
4,256,16,2,17
4,256,16,3,20
4,256,16,4,27
4,256,32,0,4
4,256,32,1,7
4,256,32,2,5
4,256,32,3,4
4,256,32,4,4
4,256,64,0,0
4,256,64,1,0
4,256,64,2,0
4,256,64,3,0
4,256,64,4,1
4,256,128,0,0
4,256,128,1,0
4,256,128,2,0
4,256,128,3,0
4,256,128,4,0
4,256,256,0,0
4,256,256,1,0
4,256,256,2,0
4,256,256,3,0
4,256,256,4,0
4,256,512,0,25
4,256,512,1,59
4,256,512,2,17
4,256,512,3,11
4,256,512,4,24
4,512,4,0,48
4,512,4,1,51
4,512,4,2,66
4,512,4,3,58
4,512,4,4,54
4,512,8,0,60
4,512,8,1,52
4,512,8,2,54
4,512,8,3,33
4,512,8,4,51
4,512,16,0,33
4,512,16,1,32
4,512,16,2,30
4,512,16,3,25
4,512,16,4,27
4,512,32,0,13
4,512,32,1,6
