Number_of_Cores,Number of Processes,Average Process Length,Algorithm,Number of Starvations
4,128,32,3,3
4,128,32,4,3
4,128,64,0,0
4,128,64,1,0
4,128,64,2,1
4,128,64,3,0
4,128,64,4,0
4,128,128,0,0
4,128,128,1,0
4,128,128,2,0
4,128,128,3,0
4,128,128,4,0
4,128,256,0,0
4,128,256,1,0
4,128,256,2,0
4,128,256,3,0
4,128,256,4,0
4,128,512,0,0
4,128,512,1,0
4,128,512,2,0
4,128,512,3,0
4,128,512,4,0
4,256,4,0,28
4,256,4,1,20
4,256,4,2,27
4,256,4,3,25
4,256,4,4,36
4,256,8,0,26
4,256,8,1,34
4,256,8,2,28
4,256,8,3,34
4,256,8,4,31
4,256,16,0,25
4,256,16,1,18
4,256,16,2,21
4,256,16,3,20
4,256,16,4,17
4,256,32,0,5
4,256,32,1,2
4,256,32,2,0
4,256,32,3,5
4,256,32,4,7
4,256,64,0,0
4,256,64,1,1
4,256,64,2,0
4,256,64,3,1
4,256,64,4,0
4,256,128,0,0
4,256,128,1,0
4,256,128,2,0
4,256,128,3,0
4,256,128,4,0
4,256,256,0,0
4,256,256,1,0
4,256,256,2,0
4,256,256,3,0
4,256,256,4,0
4,256,512,0,31
4,256,512,1,75
4,256,512,2,18
4,256,512,3,15
4,256,512,4,29
4,512,4,0,48
4,512,4,1,70
4,512,4,2,57
4,512,4,3,41
4,512,4,4,40
4,512,8,0,49
4,512,8,1,52
4,512,8,2,54
4,512,8,3,64
4,512,8,4,57
4,512,16,0,42
4,512,16,1,28
4,512,16,2,34
4,512,16,3,33
4,512,16,4,39
4,512,32,0,8
4,512,32,1,6
4,512,32,2,9
4,512,32,3,6
4,512,32,4,15
4,512,64,0,0
4,512,64,1,0
4,512,64,2,1
4,512,64,3,0
4,512,64,4,1
4,512,128,0,0
4,512,128,1,0
4,512,128,2,0
4,512,128,3,0
4,512,128,4,0
4,512,256,0,62
4,512,256,1,77
4,512,256,2,45
4,512,256,3,32
4,512,256,4,56
4,512,512,0,265
4,512,512,1,485
4,512,512,2,245
4,512,512,3,233
4,512,512,4,422
4,1024,4,0,91
4,1024,4,1,102
4,1024,4,2,97
4,1024,4,3,96
4,1024,4,4,108
4,1024,8,0,111
4,1024,8,1,112
4,1024,8,2,119
4,1024,8,3,108
4,1024,8,4,121
4,1024,16,0,75
4,1024,16,1,66
4,1024,16,2,77
4,1024,16,3,69
4,1024,16,4,66
4,1024,32,0,20
4,1024,32,1,17
4,1024,32,2,20
4,1024,32,3,22
4,1024,32,4,17
4,1024,64,0,3
4,1024,64,1,1
4,1024,64,2,3
4,1024,64,3,1
4,1024,64,4,0
4,1024,128,0,114
4,1024,128,1,221
4,1024,128,2,112
4,1024,128,3,80
4,1024,128,4,109
4,1024,256,0,531
4,1024,256,1,983
4,1024,256,2,497
4,1024,256,3,488
4,1024,256,4,899
4,1024,512,0,775
4,1024,512,1,1012
4,1024,512,2,739
4,1024,512,3,734
4,1024,512,4,1005
4,2048,4,0,232
4,2048,4,1,209
4,2048,4,2,219
4,2048,4,3,201
4,2048,4,4,218
4,2048,8,0,209
4,2048,8,1,212
4,2048,8,2,234
4,2048,8,3,230
4,2048,8,4,228
4,2048,16,0,133
4,2048,16,1,151
4,2048,16,2,130
4,2048,16,3,119
4,2048,16,4,148
4,2048,32,0,55
4,2048,32,1,40
4,2048,32,2,48
4,2048,32,3,40
4,2048,32,4,57
4,2048,64,0,263
4,2048,64,1,530
4,2048,64,2,239
4,2048,64,3,193
4,2048,64,4,254
4,2048,128,0,1111
4,2048,128,1,1964
4,2048,128,2,1020
4,2048,128,3,981
4,2048,128,4,1835
4,2048,256,0,1559
4,2048,256,1,2028
4,2048,256,2,1503
4,2048,256,3,1483
4,2048,256,4,2028
4,2048,512,0,1802
4,2048,512,1,2043
4,2048,512,2,1754
4,2048,512,3,1744
4,2048,512,4,2032
2

Number_of_Cores,Number of Processes,Average Process Length,Algorithm,Number of Starvations
8,4,4,0,0
8,4,4,1,2
8,4,4,2,0
8,4,4,3,1
8,4,4,4,0
8,4,8,0,0
8,4,8,1,0
8,4,8,2,0
8,4,8,3,1
8,4,8,4,0
8,4,16,0,0
8,4,16,1,0
8,4,16,2,0
8,4,16,3,0
8,4,16,4,0
8,4,32,0,0
8,4,32,1,0
8,4,32,2,0
8,4,32,3,0
8,4,32,4,1
8,4,64,0,0
8,4,64,1,0
8,4,64,2,0
8,4,64,3,0
8,4,64,4,0
8,4,128,0,0
8,4,128,1,0
8,4,128,2,0
8,4,128,3,0
8,4,128,4,0
8,4,256,0,0
8,4,256,1,0
8,4,256,2,0
8,4,256,3,0
8,4,256,4,0
8,4,512,0,0
8,4,512,1,0
8,4,512,2,0
8,4,512,3,0
8,4,512,4,0
8,8,4,0,2
8,8,4,1,1
8,8,4,2,0
8,8,4,3,1
8,8,4,4,1
8,8,8,0,1
8,8,8,1,1
8,8,8,2,1
8,8,8,3,2
8,8,8,4,1
8,8,16,0,0
8,8,16,1,2
8,8,16,2,0
8,8,16,3,0
8,8,16,4,1
8,8,32,0,0
8,8,32,1,1
8,8,32,2,0
8,8,32,3,1
8,8,32,4,0
8,8,64,0,0
8,8,64,1,0
8,8,64,2,0
8,8,64,3,0
8,8,64,4,0
8,8,128,0,0
8,8,128,1,0
8,8,128,2,0
8,8,128,3,0
8,8,128,4,0
8,8,256,0,0
8,8,256,1,0
8,8,256,2,0
8,8,256,3,0
8,8,256,4,0
8,8,512,0,0
8,8,512,1,0
8,8,512,2,0
8,8,512,3,0
8,8,512,4,0
8,16,4,0,4
8,16,4,1,0
8,16,4,2,1
8,16,4,3,1
8,16,4,4,3
8,16,8,0,1
8,16,8,1,3
8,16,8,2,0
8,16,8,3,1
8,16,8,4,0
8,16,16,0,1
8,16,16,1,0
8,16,16,2,1
8,16,16,3,1
8,16,16,4,2
8,16,32,0,0
8,16,32,1,0
8,16,32,2,1
8,16,32,3,0
8,16,32,4,0
8,16,64,0,0
8,16,64,1,0
8,16,64,2,0
8,16,64,3,0
